ردیف,زمان,سطح,بخش,رویداد,"شناسه مرتبط",پیام,جزئیات
3421,"1405-06-23 11:59:10",موفق,سفارش,status_sent,317037,"پیام تغییر وضعیت سفارش #317037 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3420,"1405-06-23 11:59:06",موفق,سفارش,status_sent,317033,"پیام تغییر وضعیت سفارش #317033 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3419,"1405-06-23 11:59:05",موفق,سفارش,status_sent,317029,"پیام تغییر وضعیت سفارش #317029 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3418,"1405-06-23 11:59:04",موفق,سفارش,status_sent,317028,"پیام تغییر وضعیت سفارش #317028 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3417,"1405-06-23 11:59:03",موفق,سفارش,status_sent,317022,"پیام تغییر وضعیت سفارش #317022 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3416,"1405-06-23 11:59:02",موفق,سفارش,status_sent,317021,"پیام تغییر وضعیت سفارش #317021 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3415,"1405-06-23 11:58:58",موفق,سفارش,status_sent,317019,"پیام تغییر وضعیت سفارش #317019 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3414,"1405-06-23 11:58:58",موفق,سفارش,status_sent,317016,"پیام تغییر وضعیت سفارش #317016 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3413,"1405-06-23 11:58:56",موفق,سفارش,status_sent,317014,"پیام تغییر وضعیت سفارش #317014 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3412,"1405-06-23 11:58:55",موفق,سفارش,status_sent,317008,"پیام تغییر وضعیت سفارش #317008 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3411,"1405-06-23 11:58:55",موفق,سفارش,status_sent,316955,"پیام تغییر وضعیت سفارش #316955 ارسال شد (در حال انجام ← ارسال شده به انبار).","{""old"":""processing"",""new"":""pws-in-stock""}"
3410,"1405-06-23 11:57:20",موفق,سفارش,order_sent,319700,"پیام کامل سفارش #319700 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3409,"1405-06-23 11:56:10",موفق,سفارش,order_sent,319701,"پیام کامل سفارش #319701 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3408,"1405-06-23 11:55:29",اطلاعات,سفارش,order_pending,319702,"سفارش #319702 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
